user_id,creation_time,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,cs_ORG_INVITE,cs_PERSONAL_PROJECTS,cs_SIGNUP,cs_SIGNUP_GOOGLE_AUTH,in_org,num_invited
1,2014-04-22 03:53:30,2014-04-22 03:53:30,1,0,11,10803,0,0,0,0,1,0
2,2013-11-15 03:45:04,2014-03-31 03:45:04,0,0,1,316,1,0,0,0,1,0
3,2013-03-19 23:14:52,2013-03-19 23:14:52,0,0,94,1525,1,0,0,0,1,1
4,2013-05-21 08:09:28,2013-05-22 08:09:28,0,0,1,5151,0,0,0,0,1,0
5,2013-01-17 10:14:20,2013-01-22 10:14:20,0,0,193,5240,0,0,0,0,1,0
6,2013-12-17 03:37:06,2013-12-19 03:37:06,0,0,197,11241,0,0,0,0,1,0
7,2012-12-16 13:24:32,2012-12-20 13:24:32,0,1,37,0,0,0,1,0,1,5
8,2013-07-31 05:34:02,,1,1,74,0,0,1,0,0,1,0
9,2013-11-05 04:04:24,,0,0,302,0,0,1,0,0,1,0
10,2013-01-16 22:08:03,2014-06-03 22:08:03,1,1,318,4143,1,0,0,0,1,1
11,2013-12-26 03:55:54,2013-12-27 03:55:54,0,0,69,0,0,0,1,0,1,0
12,2014-04-17 23:48:38,,0,0,130,9270,1,0,0,0,1,0
13,2014-03-30 16:19:38,2014-03-30 16:19:38,0,0,254,11204,1,0,0,0,1,0
14,2012-10-11 16:14:33,2012-10-12 16:14:33,0,0,0,0,0,0,1,0,0,0
15,2013-07-16 21:33:54,,0,0,175,0,0,1,0,0,1,0
16,2013-02-11 10:09:50,,0,0,211,0,0,1,0,0,1,0
17,2014-04-09 14:39:38,2014-04-12 14:39:38,1,0,175,1600,0,0,0,0,1,0
18,2013-08-24 00:26:46,,0,0,2,3153,0,0,0,0,1,0
19,2013-05-24 14:56:36,2013-05-30 14:56:36,1,0,0,0,0,0,1,0,0,0
20,2014-03-06 11:46:38,2014-05-29 11:46:38,0,0,58,0,0,0,1,0,1,0
21,2013-01-22 12:27:42,2013-01-22 12:27:42,0,0,54,0,0,1,0,0,1,1
22,2014-02-10 06:00:46,2014-02-10 06:00:46,0,0,7,2994,1,0,0,0,1,0
23,2012-08-17 08:30:27,2012-08-18 08:30:27,1,0,6,23,1,0,0,0,1,3
24,2013-09-09 22:20:03,2013-09-09 22:20:03,1,0,123,0,0,0,1,0,1,0
25,2014-02-25 00:11:13,2014-02-26 00:11:13,1,0,81,6312,0,0,0,0,1,0
26,2013-07-28 00:53:32,,0,0,56,11857,1,0,0,0,1,0
27,2014-01-14 17:35:11,2014-01-15 17:35:11,0,0,134,4189,1,0,0,0,1,0
28,2013-02-11 20:00:25,2013-02-14 20:00:25,0,0,6,0,0,0,1,0,1,0
29,2013-09-16 02:08:41,2013-09-17 02:08:41,0,0,92,0,0,0,1,0,1,1
30,2013-06-04 00:44:25,2013-06-04 00:44:25,0,0,251,4835,0,0,0,0,1,0
31,2014-01-23 05:21:42,2014-01-24 05:21:42,0,0,283,0,0,0,1,0,1,0
32,2013-04-17 16:21:30,,1,1,98,0,0,1,0,0,1,0
33,2014-03-11 06:29:09,2014-05-31 06:29:09,0,0,401,79,0,0,0,0,1,0
34,2014-02-03 20:55:18,,0,0,33,3721,1,0,0,0,1,0
35,2013-08-01 10:55:26,,0,0,59,0,0,1,0,0,1,0
36,2013-08-06 09:08:15,2013-08-06 09:08:15,1,0,109,6805,0,0,0,0,1,0
37,2012-09-25 14:37:23,2012-09-26 14:37:23,0,0,276,0,0,0,1,0,1,5
38,2014-05-25 06:59:56,,0,0,208,0,0,1,0,0,1,0
39,2013-09-10 23:09:40,,1,0,332,3335,1,0,0,0,1,0
40,2014-05-26 10:29:03,,0,0,2,5377,0,0,0,0,1,0
41,2014-04-30 23:38:17,2014-04-30 23:38:17,0,0,64,9286,1,0,0,0,1,0
42,2012-11-11 19:05:07,2014-05-25 19:05:07,1,0,235,0,0,0,1,0,1,0
43,2012-12-31 07:13:17,2013-04-15 07:13:17,0,0,63,149,0,0,0,0,1,0
